country_id,year,wellbeing_score
20,2006,7.05
5,2006,4.06
7,2006,5.79
7,2006,7.88
7,2006,6.21
1,2006,7.81
1,2006,5.83
6,2006,7.88
3,2006,5.94
16,2006,3.99
1,2006,4.19
20,2006,4.05
20,2006,4.06
5,2006,7.73
5,2006,4.64
8,2006,6.03
3,2006,3.63
3,2006,5.52
7,2006,3.07
5,2006,3.38
5,2006,4.03
5,2006,5.16
16,2006,7.55
16,2006,5.83
5,2006,5.04
1,2006,5.43
8,2006,5.23
3,2006,7.41
7,2006,7.43
19,2006,4.66
3,2006,6.3
16,2006,6.68
4,2006,7.01
1,2006,7.35
8,2006,5.02
1,2006,4.66
8,2006,3.43
8,2006,7.56
20,2006,5.14
3,2006,5.06
4,2006,5.65
20,2006,4.84
16,2006,5.56
19,2006,3.06
8,2006,5.77
5,2006,5.93
8,2006,5.3
16,2006,4.97
19,2006,3.37
7,2006,3.53
6,2006,4.37
3,2006,4.85
20,2006,3.86
3,2006,5.04
19,2006,3.1
5,2006,6.16
16,2006,6.69
7,2006,6.43
7,2006,5.77
8,2006,4.18
8,2006,3.14
6,2006,4.13
19,2006,4.31
8,2006,5.9
3,2006,5.22
4,2006,6.77
8,2006,6.84
4,2006,3.24
16,2006,5.9
8,2006,3.05
7,2006,6.45
19,2006,6.22
20,2006,7.72
7,2006,3.54
20,2006,6.07
20,2006,4.85
7,2006,5.02
6,2006,4.58
4,2006,3.96
8,2006,6.49
3,2006,5.13
20,2006,4.52
1,2006,7.7
20,2006,4.32
7,2006,6.06
6,2006,6.72
6,2006,7.64
5,2006,7.37
16,2006,6.4
3,2006,6.48
3,2006,7.57
8,2006,4.21
6,2006,5.22
3,2006,4.26
7,2006,7.27
7,2006,5.15
4,2006,4.88
1,2006,7.48
1,2006,6.41
8,2006,3.59
5,2006,7.14
7,2006,4.07
7,2006,6.75
1,2006,3.98
16,2006,4.06
3,2006,6.46
8,2006,6.48
8,2006,6.69
4,2006,4.64
1,2006,6.79
5,2006,7.72
16,2006,6.53
19,2006,3.81
3,2006,6.37
6,2006,3.45
19,2006,3.59
16,2006,6.96
7,2006,4.23
1,2006,6.82
1,2007,5.06
8,2007,7.7
5,2007,3.22
3,2007,5.57
7,2007,3.29
3,2007,7.72
1,2007,3.28
19,2007,4.31
6,2007,6.83
1,2007,3.63
3,2007,4.14
7,2007,5.83
4,2007,7.98
20,2007,4.06
4,2007,4.74
7,2007,7.56
6,2007,5.68
20,2007,6.6
20,2007,4.61
3,2007,4.65
5,2007,7.77
20,2007,4.27
3,2007,5.37
5,2007,6.81
5,2007,3.39
19,2007,4.58
3,2007,6.12
19,2007,7.99
8,2007,3.05
5,2007,7.11
8,2007,3.74
16,2007,3.04
16,2007,7.07
19,2007,6.03
20,2007,6.69
8,2007,4.3
20,2007,4.85
4,2007,7.41
20,2007,7.72
19,2007,6.21
20,2007,7.42
8,2007,4.16
16,2007,7.04
16,2007,6.69
5,2007,4.24
20,2007,4.32
1,2007,7.53
5,2007,7.06
19,2007,7.67
3,2007,3.48
3,2007,5.05
3,2007,5.47
20,2007,4.34
4,2007,5.59
19,2007,4.63
6,2007,5.01
3,2007,4.66
20,2007,3.15
7,2007,3.72
4,2007,7.68
16,2007,4.47
20,2007,6.95
8,2007,6.39
4,2007,3.49
20,2007,4.78
16,2007,5.14
5,2007,4.51
19,2007,7.48
7,2007,4.16
3,2007,6.54
5,2007,3.9
1,2007,5.6
8,2007,3.79
19,2007,6.9
1,2007,7.88
8,2007,4.69
20,2007,4.01
5,2007,7.99
7,2007,6.03
1,2007,6.97
8,2007,7.57
3,2007,7.91
7,2007,5.15
7,2007,5.53
8,2007,6.44
6,2007,4.35
5,2007,3.98
6,2007,3.81
7,2007,5.32
16,2007,4.43
7,2007,5.94
3,2007,5.85
7,2007,7.57
5,2007,3.78
1,2007,6.63
8,2007,7.65
3,2007,5.11
7,2007,3.39
4,2007,4
1,2007,5.47
3,2007,3.6
20,2007,7.99
5,2007,5.28
16,2007,5.53
19,2007,4.6
4,2007,6.43
16,2007,5.67
5,2007,3.39
3,2007,7.47
1,2007,7.41
1,2007,7.67
5,2007,3.24
3,2007,7.06
6,2007,4.73
4,2007,4.6
4,2007,3.85
16,2007,5.14
16,2007,3.93
19,2007,5.88
6,2007,4.71
1,2007,5.38
1,2007,3.53
20,2007,5.53
6,2007,5.9
1,2007,4.89
19,2007,3.2
5,2007,5.19
4,2007,5.32
19,2007,6.6
7,2007,5.81
8,2007,5.2
4,2007,7.02
4,2007,4.92
1,2007,4.31
6,2007,4.83
8,2007,7.52
1,2007,6.18
6,2007,3.28
5,2007,4.21
7,2007,4.23
3,2007,6.32
4,2007,4.28
4,2007,4.68
1,2007,7.05
6,2007,6.09
20,2007,3.43
3,2007,5.35
4,2007,3.64
20,2007,3.12
5,2007,4.02
1,2007,3.36
20,2007,4.22
7,2007,5.22
3,2007,6.15
3,2007,7.49
16,2007,5.09
1,2007,4.62
5,2007,4.41
19,2007,7.48
1,2007,3.47
4,2007,5.27
3,2007,4.93
3,2007,5.79
8,2007,6.75
1,2007,7.71
3,2007,6.35
5,2007,6.86
8,2007,5.26
7,2007,5.51
8,2007,4.55
20,2007,5.77
5,2007,3.66
19,2007,5.46
16,2007,4.7
16,2007,7.73
3,2007,3.66
20,2007,7.3
5,2007,5.37
16,2007,6.02
8,2007,4.33
6,2007,5.5
19,2007,4.93
1,2007,5.57
4,2007,3.29
19,2007,4.53
19,2007,6.19
7,2007,4.8
8,2007,5.46
20,2007,7.57
16,2007,6.43
6,2007,4.52
7,2007,5.6
3,2007,4.34
3,2007,3.82
8,2007,6.47
6,2007,4.63
6,2007,7.73
20,2007,4.44
4,2007,5.66
8,2007,6.55
8,2007,7.57
6,2007,6.18
20,2008,7.29
3,2008,7.37
3,2008,4.65
6,2008,5.32
16,2008,5.09
7,2008,4.34
1,2008,7.71
6,2008,6.2
1,2008,7.24
1,2008,3.63
19,2008,4.15
7,2008,7.68
4,2008,5.77
16,2008,5.25
6,2008,3.38
20,2008,6.17
4,2008,6.02
19,2008,7.3
7,2008,5.46
7,2008,5.77
4,2008,4.32
1,2008,4.03
16,2008,6.93
4,2008,6.07
20,2008,6.6
7,2008,4.97
20,2008,5.49
16,2008,5.52
3,2008,7.09
5,2008,5.59
20,2008,6.49
8,2008,6.98
3,2008,7.5
8,2008,3.43
19,2008,3.95
8,2008,4.72
8,2008,6.74
20,2008,6.52
8,2008,4.11
6,2008,7.37
4,2008,3.18
19,2008,6.54
8,2008,3.06
19,2008,5.47
7,2008,6.76
19,2008,7.29
4,2008,5.09
1,2008,5.12
3,2008,5.24
16,2008,7.7
6,2008,6.06
3,2008,4.65
8,2008,6.77
6,2008,6.7
19,2008,3.99
4,2008,3.5
4,2008,7.75
1,2008,7.77
16,2008,6.31
4,2008,5.19
7,2008,4.35
16,2008,3.8
20,2008,4.21
20,2008,6.88
7,2008,5.03
6,2008,3.7
8,2008,3.43
1,2008,6.35
16,2008,6.26
20,2008,6.51
4,2008,5.36
19,2008,5.92
16,2008,5.52
20,2008,3.06
4,2008,4.7
7,2008,6.03
19,2008,4.45
4,2008,7.23
19,2008,4.14
8,2008,7.93
20,2008,6
16,2008,4.13
7,2008,7.54
8,2008,3.42
7,2008,3.39
5,2008,6.74
3,2008,7.29
7,2008,5.64
4,2008,5.57
16,2008,7.86
19,2008,6.22
8,2008,6.32
6,2008,4.69
1,2008,4.46
20,2008,7.9
6,2008,3.2
6,2008,4.25
16,2008,5.27
3,2008,7.22
4,2008,7.06
1,2008,7.6
7,2008,3.19
19,2008,6.76
4,2008,7.46
7,2008,5.78
19,2008,3.21
6,2008,6.82
16,2008,5.34
1,2008,4.96
6,2008,5.72
7,2008,6.29
5,2008,6.68
5,2008,7.62
19,2008,5.52
3,2008,7.67
5,2008,4.89
3,2008,4.84
4,2008,6.65
20,2008,5.44
20,2008,3.73
6,2008,5.45
7,2008,7.16
3,2008,3.17
5,2008,5.35
7,2008,4.83
1,2008,7.07
6,2008,6.87
6,2008,4.45
4,2008,3.12
1,2008,5.01
4,2008,6.67
20,2008,6.45
7,2008,7.8
16,2008,6.52
4,2008,5.02
4,2008,3.35
19,2008,5.68
19,2008,7.7
6,2008,7.53
5,2008,5.38
20,2008,7.75
8,2008,6.45
19,2008,7.73
5,2008,4.58
6,2008,4.57
5,2008,7.94
16,2008,5.82
16,2008,7.09
8,2008,4.97
8,2008,6.34
3,2008,4.37
19,2008,6.3
16,2008,4.21
19,2008,4.92
20,2008,5.89
1,2008,3.45
1,2008,7.05
1,2008,7.86
1,2008,6.07
7,2008,3.68
8,2008,4.42
5,2008,3.17
8,2008,3.81
16,2008,6.72
6,2008,4.64
3,2008,5.04
5,2008,3.27
4,2008,3.79
5,2008,7.22
4,2008,4.82
6,2008,6.2
8,2008,4.34
8,2008,6.56
16,2008,4.36
7,2008,3.15
20,2008,7.87
1,2008,5.25
19,2008,5.71
8,2008,3.95
8,2008,6.76
20,2008,5.67
3,2008,6.03
6,2008,7.94
8,2008,3.47
1,2008,5.01
3,2009,6.72
3,2009,4.65
19,2009,3.93
19,2009,7.15
4,2009,7.59
16,2009,7.58
16,2009,3.37
5,2009,5.95
4,2009,5.2
16,2009,3.57
8,2009,6.4
3,2009,5.32
8,2009,6.36
20,2009,5.67
16,2009,7.53
1,2009,3.25
4,2009,4.35
3,2009,7.74
1,2009,6.24
3,2009,3
20,2009,6.91
4,2009,3.1
6,2009,6.31
19,2009,7.34
5,2009,3.93
4,2009,7.1
7,2009,7.63
4,2009,7.05
16,2009,7.58
3,2009,4.86
4,2009,5.9
1,2009,4.26
7,2009,5.62
7,2009,3.33
8,2009,7.34
5,2009,3.82
20,2009,6.64
5,2009,6.86
16,2009,4.21
5,2009,5.31
5,2009,4.89
7,2009,3.67
6,2009,7.47
5,2009,3.76
8,2009,3.54
4,2009,7.54
16,2009,6.55
20,2009,3.93
7,2009,4.89
16,2009,5.52
16,2009,6.02
4,2009,7.29
6,2009,4.86
1,2009,3.96
16,2009,7.04
7,2009,5.3
8,2009,3.58
20,2009,5.76
8,2009,6.4
3,2009,4.98
8,2009,5.92
8,2009,6.59
5,2009,5.42
8,2009,6.2
8,2009,4.79
16,2009,7.95
4,2009,5.25
19,2009,5.93
20,2009,5.51
1,2009,6.7
20,2009,4.02
20,2009,5.4
4,2009,6.22
3,2009,3.16
16,2009,5.14
16,2009,4.33
1,2009,3.97
4,2009,4.26
20,2009,4.83
19,2009,7.59
4,2009,4.83
5,2009,7.71
19,2009,6.95
4,2009,7.66
7,2009,4.44
3,2009,7.55
4,2009,5.38
20,2009,3.28
7,2009,3.07
19,2009,7.11
1,2009,7.67
7,2009,5.42
8,2009,3.11
6,2009,4.32
8,2009,5.83
20,2009,7.85
8,2009,4.85
8,2009,5.38
1,2009,4.83
8,2009,7.43
3,2009,7.37
19,2009,5.87
19,2009,5.44
1,2009,3.69
5,2009,7.47
6,2009,7.6
4,2009,3.63
5,2009,3.11
1,2009,6.35
5,2009,7.92
5,2009,7.09
16,2009,6.45
7,2009,6.09
19,2009,7.93
7,2009,7.8
6,2009,7.7
1,2009,6.76
8,2009,3.75
16,2009,6.52
19,2009,7.29
3,2009,3.84
7,2009,5.48
1,2009,6
19,2009,4.07
19,2009,5.28
19,2009,4.16
20,2009,6.62
1,2009,4.55
6,2009,4.07
7,2009,7.72
16,2009,7.72
4,2009,7.36
4,2009,5.06
6,2009,5.43
20,2009,5.86
3,2009,6.43
1,2009,7.55
7,2009,6.35
1,2009,4.99
4,2009,7.73
6,2009,3.09
7,2009,4.32
3,2009,3.2
20,2009,6.56
7,2009,4.58
16,2009,3.53
4,2009,3.94
20,2009,6.36
1,2009,5.22
20,2009,3.89
4,2009,7.14
16,2009,7.66
1,2009,5.59
1,2009,3.12
1,2009,3.23
8,2009,5.6
3,2009,5.55
19,2009,7.72
4,2009,3.31
3,2009,7.1
20,2009,4.53
3,2009,6.74
4,2009,5.8
7,2009,6.02
20,2009,6.19
6,2009,3.09
8,2009,5.19
16,2009,7.71
20,2009,4.71
6,2009,6.21
4,2009,3.47
1,2009,5.55
6,2009,7.74
7,2009,4.58
6,2009,4.93
7,2009,7.44
4,2009,4.51
5,2009,3.34
20,2009,7.91
6,2009,5.98
19,2009,6.17
4,2009,4.99
4,2009,6.91
16,2009,3.59
1,2009,5.36
16,2009,7.75
16,2009,6.55
16,2009,6.44
5,2009,3.03
5,2009,5.12
6,2009,6.22
7,2009,7.21
3,2009,3.81
3,2010,3.99
20,2010,6.24
7,2010,7.57
4,2010,5.52
7,2010,6.83
19,2010,7.93
16,2010,6.62
8,2010,5.9
4,2010,7.32
3,2010,6.78
19,2010,7.47
8,2010,4.53
19,2010,3.73
4,2010,5.27
3,2010,6.58
20,2010,5.27
7,2010,3.1
16,2010,6.17
16,2010,5.87
19,2010,3.2
4,2010,6.02
1,2010,4.42
7,2010,7.24
4,2010,6.02
1,2010,7.48
3,2010,7.33
19,2010,4.74
1,2010,4.68
16,2010,6.66
4,2010,3.83
1,2010,3.39
3,2010,4.74
19,2010,4.42
6,2010,4.4
7,2010,3.2
16,2010,3.4
6,2010,6.31
16,2010,7.35
1,2010,7.45
8,2010,7.61
20,2010,7.38
19,2010,6.48
6,2010,5.69
8,2010,3.07
19,2010,4.92
